[2024-04-28 10:48:53,456] [[31merror[39m] -- [undefined] 	e===>error
[2024-04-28 10:48:53,457] [[32minfo[39m] -- [undefined] 	e===>info
[2024-04-28 10:48:53,462] [[32minfo[39m] -- [undefined] 	9000 端口已启动
[2024-04-28 10:50:24,706] [[32minfo[39m] -- [undefined] 	9000 端口已启动
[2024-04-28 10:51:01,628] [[32minfo[39m] -- [undefined] 	9000 端口已启动
[2024-04-28 10:54:06,721] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:00:27,279] [[32minfo[39m] -- [undefined] 	9000 端口已启动
[2024-04-28 11:00:39,611] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:00:41,426] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:06:46,687] [error] -- [undefined] 	e===>
[2024-04-28 11:06:46,688] [info] -- [undefined] 	e===>
[2024-04-28 11:06:46,689] [info] -- [undefined] 	event===>
[2024-04-28 11:06:46,689] [info] -- [undefined] 	项目 ==> cicd_test  分支 ==> refs/heads/dev
[2024-04-28 11:07:09,542] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:14:40,168] [info] -- [undefined] 	e===>
[2024-04-28 11:14:40,169] [info] -- [undefined] 	event===>
[2024-04-28 11:14:40,169] [info] -- [undefined] 	项目 ==> Gitee FeedBack  分支 ==> refs/heads/test_version
[2024-04-28 11:14:53,903] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:16:25,282] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:16:29,293] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:16:51,078] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:16:54,142] [info] -- [undefined] 	e===>
[2024-04-28 11:16:54,143] [info] -- [undefined] 	event===>
[2024-04-28 11:16:54,144] [info] -- [undefined] 	项目 ==> Gitee FeedBack  分支 ==> refs/heads/test_version
[2024-04-28 11:18:20,741] [info] -- [undefined] 	e===>
[2024-04-28 11:18:20,742] [info] -- [undefined] 	event===>
[2024-04-28 11:18:20,744] [info] -- [undefined] 	项目 ==> cicd_test  分支 ==> refs/heads/dev
[2024-04-28 11:21:06,197] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:21:21,530] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:21:34,929] [info] -- [undefined] 	e===>
[2024-04-28 11:21:34,930] [info] -- [undefined] 	event===>
[2024-04-28 11:21:34,931] [info] -- [undefined] 	项目 ==> cicd_test  分支 ==> refs/heads/dev
[2024-04-28 11:24:10,880] [info] -- [undefined] 	{"a":111}
[2024-04-28 11:24:10,886] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:24:50,752] [info] -- [undefined] 	{"a":111}
[2024-04-28 11:24:50,757] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 11:26:45,993] [info] -- [undefined] 	[{"a":111},{"b":222}]
[2024-04-28 11:26:45,998] [info] -- [undefined] 	["9000 端口已启动"]
[2024-04-28 11:28:59,529] [info] -- [undefined] 	[object Object]
[2024-04-28 13:05:33,622] [info] -- [undefined] 	{"a":111},{"b":222}
[2024-04-28 13:05:33,627] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:06:13,160] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:15:12,575] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:16:18,484] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:16:26,516] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:17:07,504] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:17:27,493] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:22:41,743] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:22:50,317] [info] -- [undefined] 	webhook_event===>,push_hooks
[2024-04-28 13:22:50,317] [info] -- [undefined] 	git地址==》https://gitee.com/oschina/git-osc.git ，项目名称 ==> Gitee FeedBack，分支 ==> test_version
[2024-04-28 13:22:52,872] [info] -- [undefined] 	sh脚本执行完成,hello world=

[2024-04-28 13:26:43,081] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:27:47,373] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:27:52,574] [info] -- [undefined] 	webhook_event===>,push_hooks
[2024-04-28 13:27:52,575] [info] -- [undefined] 	git地址==》https://gitee.com/oschina/git-osc.git ，项目名称 ==> Gitee FeedBack，分支 ==> test_version
[2024-04-28 13:28:29,409] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:28:41,097] [info] -- [undefined] 	webhook_event===>,Push Hook
[2024-04-28 13:28:41,098] [info] -- [undefined] 	git地址==》https://gitee.com/wyybs/cicd_test.git ，项目名称 ==> cicd_test，分支 ==> dev
[2024-04-28 13:28:41,098] [info] -- [undefined] 	监听到push事件
[2024-04-28 13:28:42,723] [info] -- [undefined] 	sh脚本执行完成,
[2024-04-28 13:32:41,233] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:32:55,629] [info] -- [undefined] 	webhook_event===>,Push Hook
[2024-04-28 13:32:55,630] [info] -- [undefined] 	git地址==》https://gitee.com/wyybs/cicd_test.git ，项目名称 ==> cicd_test，分支 ==> dev
[2024-04-28 13:32:55,630] [info] -- [undefined] 	监听到push事件
[2024-04-28 13:33:06,382] [info] -- [undefined] 	sh脚本执行完成,Already up to date.
这是sh文件输出的数据

[2024-04-28 13:35:29,236] [info] -- [undefined] 	9000 端口已启动
[2024-04-28 13:35:49,722] [info] -- [undefined] 	webhook_event===>,Push Hook
[2024-04-28 13:35:49,722] [info] -- [undefined] 	git地址==》https://gitee.com/wyybs/cicd_test.git ，项目名称 ==> cicd_test，分支 ==> dev
[2024-04-28 13:35:49,723] [info] -- [undefined] 	监听到push事件
[2024-04-28 13:35:59,809] [info] -- [undefined] 	sh脚本执行完成,这是sh文件输出的数据

